"Reference","DKPN","Value","Footprint","Description","Qty"
"BZ1","668-1652-ND","Buzzer","1_buzzers:Buzzer_D30mm_H20mm_P15mm_668-1652-ND_AI-3035-TT-12V-R","","1"
"C1","56-K102K10X7RH5UL2CT-ND","1nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor, small symbol","1"
"D2","1830-1004-ND","LED_Small_Filled","LED_THT:LED_D3.0mm","Light emitting diode, small symbol, filled shape","1"
"J1","CP-037A-ND ","Jack-DC","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","DC Barrel Jack","1"
"J2","2057-EBAA-02-C-ND ","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","1"
"Q1","4878-2N7000CT-ND","2N7000","Package_TO_SOT_THT:TO-92_Inline","0.2A Id, 200V Vds, N-Channel MOSFET, 2.6V Logic Level, TO-92","1"
"R1","CF18JT10M0CT-ND ","10M","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor, small US symbol","1"
"R2","CF18JT10M0CT-ND ","6.8k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor, small US symbol","1"
"Z1","364-1254-ND","12v Supply","","Housing","1"
"Z2","1927-1053-ND ","9v Batt Assy","","Multiple-cell battery","1"
